Sampling_date,Waterbody,AMP_ID,Common_Name,Species_Name,Length_cm,Sampling_Notes,DNA_concentration_ng/?l,Extracted_by,Extraction_date_YYMMDD,Extraction_notes,DNA_concentration_2nd_nanodrop,DNA_concentration_2nd_extraction_ng/?l ,Extracted_by,Extraction_date_DDMMYY,DNA_concentration_3rd_extraction_ng/ul ,Extracted_by,Extraction_date_DDMMYY,Notes,Final_extraction_concentration,Final_extraction_by
31-May,Simms_Creek,AMP22_0074,Creek_Chub,Semotilus atromaculatus,11.5,,52.11,Teaghan,2022-08-02,,,,,,,,,,52.11,Teaghan
31-May,Simms_Creek,AMP22_0075,Creek_Chub,Semotilus atromaculatus,11.7,,54.74,Teaghan,2022-08-02,,,,,,,,,,54.74,Teaghan
31-May,Simms_Creek,AMP22_0076,Western_Blacknose_Dace,Rhinichthys obtusus,7.7,Probable male (spawning colours),83.92,Teaghan,2022-08-02,,,,,,,,,,83.92,Teaghan
31-May,Simms_Creek,AMP22_0077,Western_Blacknose_Dace,Rhinichthys obtusus,8.2,Probable male (spawning colours),97.85,Teaghan,2022-08-02,,,,,,,,,,97.85,Teaghan
31-May,Simms_Creek,AMP22_0078,Western_Blacknose_Dace,Rhinichthys obtusus,7.5,Probable male (spawning colours),110.7,Teaghan,2022-08-02,,,,,,,,,,110.7,Teaghan
31-May,Simms_Creek,AMP22_0079,Creek_Chub,Semotilus atromaculatus,13.9,On ice--Probable male (spawning colours),75.78,Teaghan,2022-08-02,,,,,,,,,,75.78,Teaghan
20-Jun,Saugeen_River13,AMP22_0080,Creek_Chub,Semotilus atromaculatus,9.8,Heavily parasitized small black kernels and white cyst-like growths--took right pectoral because the other was covered with white cyst,43.54,Teaghan,2022-08-04,,,,,,,,,,43.54,Teaghan
20-Jun,Saugeen_River13,AMP22_0081,Common_Shiner,Luxilus cornutus,6.1,Black kernel parasite,45.04,Teaghan,2022-08-04,,,,,,,,,,45.04,Teaghan
20-Jun,Saugeen_River13,AMP22_0082,Common_Shiner,Luxilus cornutus,5.6,Black kernel parasite,12.23,Teaghan,2022-08-04,ask Liz about slope,21.46,13.22,Amanda,2022-10-28,91.26,Amy,2022-12-07,,91.26,Amy
20-Jun,Saugeen_River13,AMP22_0083,Common_Shiner,Luxilus cornutus,8.5,Black kernel parasite,40.18,Teaghan,2022-08-04,,94.6,,,,,,,,40.18,Teaghan
20-Jun,Saugeen_River13,AMP22_0084,Creek_Chub,Semotilus atromaculatus,11.1,Black kernel parasite,125.8,Teaghan,2022-08-04,,24.19,,,,,,,,125.8,Teaghan
20-Jun,Saugeen_River13,AMP22_0085,Creek_Chub,Semotilus atromaculatus,10.4,Black kernel parasite,199.5,Teaghan,2022-08-04,,20.14,,,,,,,,199.5,Teaghan
20-Jun,Saugeen_River13,AMP22_0086,Hornyhead_Chub,Nocomis biguttatus,7.4,Black kernel parasite,36.69,Teaghan,2022-08-04,,44.55,,,,,,,,36.69,Teaghan
20-Jun,Saugeen_River13,AMP22_0087,Common_Shiner,Luxilus cornutus,8.5,,38.67,Teaghan,2022-08-04,,29.22,,,,,,,,38.67,Teaghan
20-Jun,Saugeen_River13,AMP22_0088,Creek_Chub,Semotilus atromaculatus,9.1,Heavily parasitized small black kernels ,,Teaghan,2022-08-04,,18.85,,,,,,,,18.85,Teaghan
23-Jun,Marden_Creek,AMP22_0089,Western_Blacknose_Dace,Rhinichthys obtusus,5.7,,,Teaghan,2022-08-04,,20.67,,,,,,,,20.67,Teaghan
23-Jun,Marden_Creek,AMP22_0090,Western_Blacknose_Dace,Rhinichthys obtusus,5.1,,,Teaghan,2022-08-04,,74.49,16.95,Amanda,2022-10-28,81.45,Amy,2022-12-07,,81.45,Amy
23-Jun,Marden_Creek,AMP22_0091,Western_Blacknose_Dace,Rhinichthys obtusus,6,,,Teaghan,2022-08-04,,25.46,,,,,,,,25.46,Teaghan
23-Jun,Marden_Creek,AMP22_0092,Western_Blacknose_Dace,Rhinichthys obtusus,5.4,,,Teaghan,2022-08-04,,25.47,27.16,Amanda,2022-10-28,,,,,27.16,Amanda
23-Jun,Marden_Creek,AMP22_0093,Western_Blacknose_Dace,Rhinichthys obtusus,4.5,,,Teaghan,2022-08-04,,162.1,22.73,Amanda,2022-10-28,,,,,22.73,Amanda
23-Jun,Marden_Creek,AMP22_0094,Western_Blacknose_Dace,Rhinichthys obtusus,5,,,Teaghan,2022-08-04,,78.16,,,,,,,,78.16,Teaghan
23-Jun,Marden_Creek,AMP22_0095,Western_Blacknose_Dace,Rhinichthys obtusus,4.8,,,Teaghan,2022-08-04,,18.77,,,,,,,,18.77,Teaghan
23-Jun,Marden_Creek,AMP22_0096,Western_Blacknose_Dace,Rhinichthys obtusus,7.4,,,Teaghan,2022-08-04,,74.49,,,,,,,,74.49,Teaghan
23-Jun,Marden_Creek,AMP22_0097,Western_Blacknose_Dace,Rhinichthys obtusus,5.4,,,Teaghan,2022-08-04,,25.46,,,,,,,,25.46,Teaghan
23-Jun,Marden_Creek,AMP22_0098,Western_Blacknose_Dace,Rhinichthys obtusus,5.2,,,Teaghan,2022-08-04,,25.47,17.11,Amanda,2022-10-28,64.71,Amy,2022-12-07,,64.71,Amy
23-Jun,Marden_Creek,AMP22_0099,Western_Blacknose_Dace,Rhinichthys obtusus,5.1,,,Teaghan,2022-08-04,,162.1,33.73,Amanda,2022-10-28,,,,,33.73,Amanda
23-Jun,Marden_Creek,AMP22_0100,Western_Blacknose_Dace,Rhinichthys obtusus,6.2,,,Teaghan,2022-08-04,,78.16,,,,,,,,78.16,Teaghan
23-Jun,Marden_Creek,AMP22_0101,Western_Blacknose_Dace,Rhinichthys obtusus,6.3,,,Teaghan,2022-08-04,,26.54,,,,,,,,26.54,Teaghan
23-Jun,Marden_Creek,AMP22_0102,Western_Blacknose_Dace,Rhinichthys obtusus,5.3,,,Teaghan,2022-08-04,,41.64,,,,,,,,41.64,Teaghan
23-Jun,Marden_Creek,AMP22_0103,Western_Blacknose_Dace,Rhinichthys obtusus,4.6,,,Teaghan,2022-08-04,,26.37,,,,,,,,26.37,Teaghan
23-Jun,Marden_Creek,AMP22_0104,Western_Blacknose_Dace,Rhinichthys obtusus,8.4,Probable male (spawning colours),119.5,Amanda,2022-08-05,,,,,,,,,,119.5,Amanda
23-Jun,Marden_Creek,AMP22_0105,Western_Blacknose_Dace,Rhinichthys obtusus,7.2,,34.49,Amanda,2022-08-05,,,,,,,,,,34.49,Amanda
23-Jun,Marden_Creek,AMP22_0106,Western_Blacknose_Dace,Rhinichthys obtusus,4.9,,31.74,Amanda,2022-08-05,,,,,,,,,,31.74,Amanda
23-Jun,Marden_Creek,AMP22_0107,Western_Blacknose_Dace,Rhinichthys obtusus,4.5,,33.57,Amanda,2022-08-05,,,,,,,,,,33.57,Amanda
23-Jun,Marden_Creek,AMP22_0108,Western_Blacknose_Dace,Rhinichthys obtusus,5.7,,30.93,Amanda,2022-08-05,,,,,,,,,,30.93,Amanda
23-Jun,Marden_Creek,AMP22_0109,Western_Blacknose_Dace,Rhinichthys obtusus,5.2,,27.45,Amanda,2022-08-05,,,,,,,,,,27.45,Amanda
23-Jun,Marden_Creek,AMP22_0110,Western_Blacknose_Dace,Rhinichthys obtusus,8,,72.61,Amanda,2022-08-05,,,,,,,,,,72.61,Amanda
23-Jun,Marden_Creek,AMP22_0111,Western_Blacknose_Dace,Rhinichthys obtusus,5.8,,92.58,Amanda,2022-08-05,,,,,,,,,,92.58,Amanda
23-Jun,Marden_Creek,AMP22_0112,Western_Blacknose_Dace,Rhinichthys obtusus,5.4,,34.5,Amanda,2022-08-05,,,,,,,,,,34.5,Amanda
23-Jun,Marden_Creek,AMP22_0113,Western_Blacknose_Dace,Rhinichthys obtusus,4.6,,49.5,Amanda,2022-08-05,,,,,,,,,,49.5,Amanda
23-Jun,Marden_Creek,AMP22_0114,Western_Blacknose_Dace,Rhinichthys obtusus,7.6,,80.4,Amanda,2022-08-05,,,,,,,,,,80.4,Amanda
23-Jun,Marden_Creek,AMP22_0115,Western_Blacknose_Dace,Rhinichthys obtusus,7,,56.41,Amanda,2022-08-05,,,,,,,,,,56.41,Amanda
23-Jun,Marden_Creek,AMP22_0116,Western_Blacknose_Dace,Rhinichthys obtusus,7.9,Back broken possibly during capture,52.79,Amanda,2022-08-05,,,,,,,,,,52.79,Amanda
23-Jun,Marden_Creek,AMP22_0117,Western_Blacknose_Dace,Rhinichthys obtusus,6.2,,28.65,Amanda,2022-08-05,,,,,,,,,,28.65,Amanda
23-Jun,Marden_Creek,AMP22_0118,Western_Blacknose_Dace,Rhinichthys obtusus,5.8,,13.59,Amanda,2022-08-05,,47.44,,,,,,,,47.44,Amanda
23-Jun,Marden_Creek,AMP22_0119,Creek_Chub,Semotilus atromaculatus,4.6,,14.76,Amanda,2022-08-05,,20.38,12.75,Amanda,,44.86,Amy,2022-12-07,,44.86,Amy
23-Jun,Marden_Creek,AMP22_0120,Creek_Chub,Semotilus atromaculatus,4.5,,7.67,Amanda,2022-08-05,,9.868,19.23,Amanda,,,,,,19.23,Amanda
23-Jun,Marden_Creek,AMP22_0121,Creek_Chub,Semotilus atromaculatus,4.7,,11.53,Amanda,2022-08-05,,10.72,28.07,Amanda,,,,,,28.07,Amanda
23-Jun,Marden_Creek,AMP22_0122,Creek_Chub,Semotilus atromaculatus,6.5,,36.73,Amanda,2022-08-05,,,,,,,,,,36.73,Amanda
23-Jun,Marden_Creek,AMP22_0123,Creek_Chub,Semotilus atromaculatus,5.3,,15.84,Amanda,2022-08-05,,21.21,28.86,Amanda,,,,,,21.21,Amanda
23-Jun,Marden_Creek,AMP22_0124,Creek_Chub,Semotilus atromaculatus,5.3,,17.39,Amanda,2022-08-05,,30.16,14.82,Amanda,,80.22,Amy,2022-12-07,,80.22,Amy
23-Jun,Marden_Creek,AMP22_0125,Creek_Chub,Semotilus atromaculatus,5.7,,21.32,Amanda,2022-08-05,,,,,,,,,,21.32,Amanda
23-Jun,Marden_Creek,AMP22_0126,Creek_Chub,Semotilus atromaculatus,5.7,,12.89,Amanda,2022-08-05,,17.39,22.33,Amanda,,,,,,22.33,Amanda
23-Jun,Marden_Creek,AMP22_0127,Creek_Chub,Semotilus atromaculatus,6.6,,26.41,Amanda,2022-08-05,,,,,,,,,,26.41,Amanda
23-Jun,Marden_Creek,AMP22_0128,Creek_Chub,Semotilus atromaculatus,5.5,,,Teaghan,2022-08-08,,25.39,,,,,,,,25.39,Teaghan
23-Jun,Marden_Creek,AMP22_0129,Creek_Chub,Semotilus atromaculatus,5.7,,,Teaghan,2022-08-08,,13.8,14.61,Amanda,,91.15,Amy,2022-12-07,,91.15,Amy
23-Jun,Marden_Creek,AMP22_0130,Creek_Chub,Semotilus atromaculatus,4.9,,,Teaghan,2022-08-08,,10.37,18.26,Amanda,,,,,,18.26,Amanda
23-Jun,Marden_Creek,AMP22_0131,Creek_Chub,Semotilus atromaculatus,6.2,,,Teaghan,2022-08-08,,24.7,,,,,,,,24.7,Teaghan
23-Jun,Marden_Creek,AMP22_0132,Creek_Chub,Semotilus atromaculatus,5,,,Teaghan,2022-08-08,,16.8,17,Amanda,,112.2,Amy,2022-12-07,,112.2,Amy
23-Jun,Marden_Creek,AMP22_0133,Creek_Chub,Semotilus atromaculatus,5.2,,,Teaghan,2022-08-08,,30.63,,,,,,,,30.63,Teaghan
23-Jun,Marden_Creek,AMP22_0134,Creek_Chub,Semotilus atromaculatus,5.6,,,Teaghan,2022-08-08,,14.85,10.96,Amanda,,112.4,Amy,2022-12-07,,112.4,Amy
23-Jun,Marden_Creek,AMP22_0135,Creek_Chub,Semotilus atromaculatus,6.2,,,Teaghan,2022-08-08,,9.606,14.01,Amanda,,173.1,Amy,2022-12-07,,173.1,Amy
23-Jun,Marden_Creek,AMP22_0136,Creek_Chub,Semotilus atromaculatus,6.5,,,Teaghan,2022-08-08,,20.77,19.89,Amanda,,138.8,Amy,2022-12-07,,138.8,Amy
23-Jun,Marden_Creek,AMP22_0137,Creek_Chub,Semotilus atromaculatus,5.8,,,Teaghan,2022-08-08,,36.98,,,,,,,,36.98,Teaghan
23-Jun,Marden_Creek,AMP22_0138,Creek_Chub,Semotilus atromaculatus,6.1,,,Teaghan,2022-08-08,,13.19,10.89,Amanda,,122.6,Amy,2022-12-07,,122.6,Amy
23-Jun,Marden_Creek,AMP22_0139,Creek_Chub,Semotilus atromaculatus,6,,,Teaghan,2022-08-08,,7.243,15.67,Amanda,,139.4,Amy,2022-12-07,,139.4,Amy
23-Jun,Marden_Creek,AMP22_0140,Creek_Chub,Semotilus atromaculatus,5.7,,,Teaghan,2022-08-08,,29.02,,,,,,,,29.02,Teaghan
23-Jun,Marden_Creek,AMP22_0141,Creek_Chub,Semotilus atromaculatus,6.3,,,Teaghan,2022-08-08,,10.37,17.49,Amanda,,,,,,17.49,Amanda
23-Jun,Marden_Creek,AMP22_0142,Creek_Chub,Semotilus atromaculatus,7.8,,,Teaghan,2022-08-08,,51.51,,,,,,,,51.51,Teaghan
23-Jun,Marden_Creek,AMP22_0143,Creek_Chub,Semotilus atromaculatus,5.9,,,Teaghan,2022-08-08,,22.85,,,,,,,,22.85,Teaghan
23-Jun,Marden_Creek,AMP22_0144,Creek_Chub,Semotilus atromaculatus,6.2,,,Teaghan,2022-08-08,,24.34,19.37,Amanda,,,,,,19.37,Amanda
23-Jun,Marden_Creek,AMP22_0145,Creek_Chub,Semotilus atromaculatus,5.8,,,Teaghan,2022-08-08,,35.68,,,,,,,,35.68,Teaghan
